password,hashvalue,mask
BASE#@!%,c75cdff4a4c992dd5b2b225cd9b458c003fc3703,?u?u?u?u?s?s?s?s
#%drag^@,9108a4c077bebcd20cada0122ce9c457fda0dd74,?s?s?l?l?l?l?s?s
foot#%^&,0ce06420aa38794bc2ef29000ed591c7ae0a1fe7,?l?l?l?l?s?s?s?s
Comp^#!&,ce4b2909e6460af846b88fe22424df80c670bcbd,?u?l?l?l?s?s?s?s
SUNS!#%&,5d0310095aa6d0bbee30e5c39dc88ee9a90f2ff1,?u?u?u?u?s?s?s?s
#@Admi#%,a5511972f49965034784d678a1ed0e3349e17cd8,?s?s?u?l?l?l?s?s
##Free#$,46abe600ff56483ff87cc0f736e63957fbf4dafa,?s?s?u?l?l?l?s?s
^%Free##,8e71a32ef362a6971ed2cab02fe7c261aa340740,?s?s?u?l?l?l?s?s
Free!@#&,063c29105ea6fe6eae80dc82755cf2952b666c77,?u?l?l?l?s?s?s?s
%^##suns,d07a83f1f58b6bbda98e9d078e4bd6f3f003708d,?s?s?s?s?l?l?l?l
