password,hashvalue,mask
^@Word!!10,671e6d440c06805dea646c4c09d1da71d7ef5fe0,?s?s?u?l?l?l?s?s?d?d
word^17!%$,8fed1fff25f7114ea259bdd6cd7c5911fb5d5763,?l?l?l?l?s?d?d?s?s?s
%%code$%30,788a3ecf92e6c39919a64146afd471f25538e994,?s?s?l?l?l?l?s?s?d?d
79CODE#&&&,7324a0db955fd7f96e5e06b97db8f078e2898255,?d?d?u?u?u?u?s?s?s?s
7admin&#!!,fbfaa708df6cf1c2130cf6ddaf6289a870eb271a,?d?l?l?l?l?l?s?s?s?s
$@@%word66,f3071058f96ef12c802a3bd5881ebe7e44ac418c,?s?s?s?s?l?l?l?l?d?d
##$%Admin4,b1449a8f7911a45f7bd6a8b559be78b274dd7e5b,?s?s?s?s?u?l?l?l?l?d
60Pass!@$!,4ef9ea0cd956cf3c594f6f1a2830856ab4359ec9,?d?d?u?l?l?l?s?s?s?s
WORD$6&7$%,deab62a5f67f0fd3e871693aa217cd300717781b,?u?u?u?u?s?d?s?d?s?s
!#Code^$68,7bb70915f4d13e1f2e4c412cbc8d3c29b23c8501,?s?s?u?l?l?l?s?s?d?d
