password,hashvalue,mask
@Password7,e463682df59c586fef61f9687faf99a06756ca78,?s?u?l?l?l?l?l?l?l?d
admin#5653,43d1fc35279bc51dc013ad8fc0387fb8b2b07ef1,?l?l?l?l?l?s?d?d?d?d
!welcome44,e89781ccde2d857d66ec85798a323460f42bae1e,?s?l?l?l?l?l?l?l?d?d
07rainbow!,ecf5f0ccd1a3f6504e2efb247aea72ea48daecb7,?d?d?l?l?l?l?l?l?l?s
#Rainbow34,5c2ce4daf2a1cab431a6cbb75f35218f4742213a,?s?u?l?l?l?l?l?l?d?d
2124Admin&,143ee3d0eb85d038e8d53a34de1977b77d8cace3,?d?d?d?d?u?l?l?l?l?s
sunshine!7,bf720a8acd219c92773bdcfc4f397ce5f5f020de,?l?l?l?l?l?l?l?l?s?d
73rainbow!,786e61bb1883c50a48548a406c006e60a3e603c4,?d?d?l?l?l?l?l?l?l?s
@dragon936,b4fc4989c04c4fd1316c234019254b3eced6aca7,?s?l?l?l?l?l?l?d?d?d
SUNSHINE&9,45e1d0916e669411712488ae08b530f45a0322b5,?u?u?u?u?u?u?u?u?s?d
