password,hashvalue,mask
$$$$Welc,2087ca04977ac437e27e03effd16dfacb5053774,?s?s?s?s?u?l?l?l
!!!&Base,3104b43f718d3a1a14102f41d3a1de311d128680,?s?s?s?s?u?l?l?l
Pass!!^^,5268999a34ca11e53f61dfdbe8fddaec8404d3fc,?u?l?l?l?s?s?s?s
pass@@@@,4379ebc757482cc78da0b679d274d8012ab3f0a2,?l?l?l?l?s?s?s?s
####Drag,8e7e18fcca6f6e89837ace71d46bb5d73801e875,?s?s?s?s?u?l?l?l
%$#@welc,8e9741d4440a5edb02f227bb60a166e3a0b810da,?s?s?s?s?l?l?l?l
foot@#$%,bf03e8e850dd1b6664648894ba59ad3cde964893,?l?l?l?l?s?s?s?s
^^monk^^,e6b66e07a44593f23f95d76263cb8fa355039bc3,?s?s?l?l?l?l?s?s
admi@@@@,507613a9ace043f23b6a7ecc8713b5fc3977941a,?l?l?l?l?s?s?s?s
@@@#admi,320632907040ff2e24204df7eac12b8835e747de,?s?s?s?s?l?l?l?l
