password,hashvalue,mask
@TEST%0217,bf4b50fea33dee2fec21b768d1b29c2e08a5b457,?s?u?u?u?u?s?d?d?d?d
8482USER#%,fb6dcb44c8b034dc258b757cfa8655daef2f25e6,?d?d?d?d?u?u?u?u?s?s
@&test8088,00967a2e923f10105db5716a6ce8aaad21c3ff64,?s?s?l?l?l?l?d?d?d?d
!^USER1050,d8b4104ec65830bd7b251f2ec55b445eae46672e,?s?s?u?u?u?u?d?d?d?d
user7^^843,9a50dec81e6e0e952670a5e176a047f3910933e6,?l?l?l?l?d?s?s?d?d?d
#admin!413,1f290e2bd75483bdf97f8198611eff3424a0ffd7,?s?l?l?l?l?l?s?d?d?d
user6#6&34,4a9df5f5e9427cb0755d7601c7157621761ca891,?l?l?l?l?d?s?d?s?d?d
%admin%327,6620a7c70920e284aeb47da02f8e549d942ad02a,?s?l?l?l?l?l?s?d?d?d
#Test!8766,2e7cadba9bbcf394c68f13703974723d1d7e2d75,?s?u?l?l?l?s?d?d?d?d
$test#5126,d87845b942b3d4d84432bba14a1f8cad72a14790,?s?l?l?l?l?s?d?d?d?d
