password,hashvalue,mask
Test3##$0$,3349a4bf3c27d187bd688d00907ab5855743483a,?u?l?l?l?d?s?s?s?d?s
Test78!#$&,e6f23bb4373084728318f44536544ac5e075501e,?u?l?l?l?d?d?s?s?s?s
admin!$#%5,01cd1289e79b89b8e1cf3be465e83a3bb1c3f89e,?l?l?l?l?l?s?s?s?s?d
0admin$$@%,5730e92a4a9c85da7fc2b427330727bab60a99b3,?d?l?l?l?l?l?s?s?s?s
#&!&admin2,d7f87685efcdd49354b160fcd0f380de46b6f81b,?s?s?s?s?l?l?l?l?l?d
User3^7^!!,7dfcacbb67634e038e90ef89b246883251639d43,?u?l?l?l?d?s?d?s?s?s
4admin!$&^,726c29249074339ff36421691951773677029da4,?d?l?l?l?l?l?s?s?s?s
@%test%$78,5fd6b1f764361dbd883ebaaf398b04d57df994f7,?s?s?l?l?l?l?s?s?d?d
$$&&test31,e4b68f414c745814adb3e8839a0e5ded79c10368,?s?s?s?s?l?l?l?l?d?d
$&user&@08,5b4dde921ee021a3fc7e6b72685f24a060f624da,?s?s?l?l?l?l?s?s?d?d
