password,hashvalue,mask
user3466@5,46e936c18495a5bc576a8e541cd9e1bf236bdfd0,?l?l?l?l?d?d?d?d?s?d
ADMIN20#03,388543b3c9232e3c5c976a4ea69ea1078851e7db,?u?u?u?u?u?d?d?s?d?d
$admin3712,1ab059d8ec59e2e01bb195de74bbda81d6ef56cb,?s?l?l?l?l?l?d?d?d?d
user34367^,fa709ecbc02b9eb948c1ede6c6e2cb575b08e2b2,?l?l?l?l?d?d?d?d?d?s
ADMIN5@812,d53e9724bd75599d5beb6f08f1a24d000943e441,?u?u?u?u?u?d?s?d?d?d
test83^562,aca8c3f78f925ace3a7e6261057da53a6749a12d,?l?l?l?l?d?d?s?d?d?d
9047admin#,c8fdeb064e582bbe277977d2befda5bae12dd3ef,?d?d?d?d?l?l?l?l?l?s
&test52029,2870c7e346cebde0672547d46e5e3bf5b4afc8f0,?s?l?l?l?l?d?d?d?d?d
TEST309#45,298fcd542e5e36425101394285d5630119864061,?u?u?u?u?d?d?d?s?d?d
!admin0242,12ce12f5b5701ecdd1196e1d562adc2a92dbd9c4,?s?l?l?l?l?l?d?d?d?d
